MSI_DO_YOU_AGREE,"Do you agree?"
MSI_REFUSE_HEAR_LIST,"[ Character Block List ]"
MSI_ROOM_IS_MADE,"Room has been successfully created."
MSI_TOO_MANY_ROOM,"Room Limit Exceeded."
MSI_SAME_ROOM_TITLE,"Same Room exists."
MSI_TOO_MANY_PEOPLE_IN_ROOM,"The Room is full."
MSI_YOU_HAVE_BANNED_FROM_THE_ROOM,"You have been kicked out of this room."
MSI_REJECT_DEAL,"The deal has been rejected."
MSI_TOO_FAR_TO_DEAL,"You are too far away from the person to trade."
MSI_CHARACTER_IS_NOT_EXIST,"The Character is not currently online or does not exist."
MSI_CHARACTER_IS_DEALING,"The person is in another deal."
MSI_CHARACTER_IS_OVER_WEIGHT,"You cannot trade because this character will exceed his weight limit."
MSI_DEAL_IS_CANCELED,"The deal has been canceled."
MSI_DEAL_SUCCESS,"The deal has successfully completed."
MSI_DEAL_FAILED,"The deal has failed."
MSI_PARTY_MAKE_SUCCEED,"Party has successfully been organized."
MSI_SAME_PARTY_NAME,"That Party Name already exists."
MSI_YOU_ARE_ALREADY_IN_PARTY,"The Character is already in a party."
MSI_CHARACTER_IS_ALREADY_IN_PARTY,"The Character already joined another party."
MSI_CHARACTER_REJECT_JOIN,"Request for party rejected."
MSI_CHARACTER_ACCEPT_JOIN,"Request for party accepted."
MSI_TOO_MANY_PEOPLE_IN_PARTY,"Party Capacity exceeded."
MSI_YOU_LEAVE_FROM_PARTY,"You left the party."
MSI_SEND_TO_ALL,"Send to All"
MSI_SEND_TO_PARTY,"Send to Party"
MSI_REQ_DEAL_WITH,"Request a deal with %s"
MSI_REQ_JOIN_PARTY,"Ask %s to join your party"
MSI_ROOM_PRIVATE,"Pri:"
MSI_ROOM_PUBLIC,"Pub:"
MSI_RESTART_MSG,"Click ''Restart'' to go back to your save point or click ''Exit'' to select another character."
MSI_SELECT_DEAL_TYPE,"Please select a Deal Type."
MSI_SUGGEST_DEAL," requests a deal."
MSI_SUGGEST_JOIN_PARTY," Party has sent you an invitation. Would you like to join?"
MSI_INVALID_COMMAND,"Invalid Command"
MSI_LEAVE_PARTY,"Leave party"
MSI_EXPEL,"Expel from party"
MSI_MSG,"Send Message"
MSI_1ON1,"1:1 Chat"
MSI_CHARACTER_INFO,"Information"
MSI_PARTY_SETTING,"Party Setup"
MSI_FRIEND,"Friend"
MSI_PARTY,"Party"
MSI_EQUIPED_ITEM,"Equip"
MSI_STATUS,"Status"
MSI_ITEM,"Inventory"
MSI_EXPLAIN_PARTY,"/organize ''Party Name'' To organize a party. Type /leave To leave a Party."
MSI_EXPLAIN_TIP3,"If you are the party master, you can invite someone into your party by right-clicking on a Character."
MSI_RESTORE,"Consumables"
MSI_ATTACK,"Attack"
MSI_SUPPORT,"Support"
MSI_ALL,"Entire"
MSI_WEAPON,"Weapons"
MSI_DEFENCE,"Defense"
MSI_WATER,"Water"
MSI_EARTH,"Earth"
MSI_FIRE,"Fire"
MSI_WIND,"Wind"
MSI_EQUIPITEM_OLNY_ONE,"Please avoid buying 2 of the same items at one time."
MSI_ONLY_16BIT_WHEN_WINDOWMODE,"Please change your desktop Color Depth to 16-bit when running Ragnarok in windowed mode."
MSI_PLEASE_BE_PATIENT,"Please wait..."
MSI_WAITING_RESPONSE_FROM_SERVER,"Please wait..."
MSI_MAKING_CHARACTER,"Please wait..."
MSI_DELETING_CHARACTER,"Please wait..."
MSI_MAKING_ROOM,"Create Chat Room"
MSI_CHANGE_ROOM_SETTING,"Room Setup"
MSI_BAN,"Kick Character Out"
MSI_GIVE_GIVE_ROOM_POWER,"Give Master Authority"
MSI_SEE_INFORMATION_OF_CHARACTER,"View Information"
MSI_CHAT_ROOM,"Chat Room"
MSI_COUNT_UNIT_OF_PEOPLE,"Ppl"
MSI_EXPLAIN_SIT,"/sit: Sit command. If you are sitting, you will stand instead."
MSI_EXPLAIN_STAND,"/stand: Stand command. If you are standing, you will sit instead."
MSI_EXPLAIN_MAKE_CHAT,"/chat: Creates a Chat Room"
MSI_EXPLAIN_EXIT_CHAT_ROOM,"/q: Leaves a Chat Room"
MSI_EXPLAIN_DEAL,"/deal ''Character Name'' Requests a deal with a character"
MSI_EXPLAIN_ORGANIZE_PARTY,"/organize ''Party Name'' Organizes a party"
MSI_EXPLAIN_LEAVE_PARTY,"/leave: Leaves a party"
MSI_EXPLAIN_EXPEL_PARTY_MEMBER,"/expel ''Character Name'' kicks a Character out of your party"
MSI_EXPLAIN_TIP4,"[Alt] + [End]: Turns HP/SP Bar On or Off"
MSI_EXPLAIN_TIP5,"[Alt] + [Home]: Turns Ground Cursor On or Off"
MSI_EXPLAIN_TIP6,"[Insert]: Makes you sit or stand. (Hotkey to toggle between /sit and /stand)"
MSI_YOU_RECEIVE_MVP_ITEM,"Congratulations! You are the MVP! Your reward item is "
MSI_YOU_RECEIVE_MVP_ITEM2,"!!"
MSI_YOU_RECEIVE_MVP_EXP,"Congratulations! You are the MVP! Your reward EXP Points are "
MSI_YOU_RECEIVE_MVP_EXP2,"!!"
MSI_YOU_THROW_MVPITEM,"You are the MVP, but you can't take the reward because you are over your weight limit."
MSI_NOT_EXIST_CHARACTER,"There is no such character name or the user is offline."
MSI_NO_RECEIVE_MODE," doesn't want to receive your messages."
MSI_NO_RECEIVE_MODE_FOR_ALL," is not in the mood to talk with anyone."
MSI_SUCCESS_DISCONNECT_CHARACTER,"Kick/Disconnected User."
MSI_FAIL_DISCONNECT_CHARACTER,"Kick has failed."
MSI_GET_ITEM,"You got %s (%d)."
MSI_EXPLAIN_TIP7,"[Alt] + [=]: Fix the interval error between letters."
MSI_EXPLAIN_TIP8,"[F10]: To toggle Chat Window size; [Alt] + [F10]: Toggle Chat Window On or Off"
MSI_EXPLAIN_TIP9,"How to Whisper: Enter a Character's Name on the left side of chat window and type your message on the right side. The Tab key helps you move between these boxes."
MSI_EXPLAIN_TIP10,"/!,/?,/ho,/lv,/lv2,/swt,/ic,/an,/ag,/$,/??,/thx,/wah,/sry,/heh,/swt2,/hmm,/no1,/??,/omg,/oh,/X,/hp,/go,/sob,/gg,/kis,/kis2,/pif,/ok: Emotion icons corresponding to Alt + (1~9) Ctrl + (-=\\)"
MSI_EXPLAIN_TIP11,"How to Speak to Party: Add '%' in front of every message.(Example: \%Hello\)"
MSI_NOT_ENOUGH_SKILLLEVE1,"You haven't learned enough Basic Skills to Trade."
MSI_NOT_ENOUGH_SKILLLEVE2,"You haven't learned enough Basic Skills to use Emotion icons."
MSI_NOT_ENOUGH_SKILLLEVE3,"You haven't learned enough Basic Skills to Sit."
MSI_NOT_ENOUGH_SKILLLEVE4,"You haven't learned enough Basic Skills to create a chat room."
MSI_NOT_ENOUGH_SKILLLEVE5,"You haven't learned enough Basic Skills to Party."
MSI_NOT_ENOUGH_SKILLLEVE6,"You haven't learned enough skills to Shout."
MSI_NOT_ENOUGH_SKILLLEVE7,"You haven't learned enough skills for Pking."
MSI_ITEMS_FOR_BUY,"Buying Items"
MSI_ITEM_STORE,"Item Shop"
MSI_ITEMS_FOR_SELL,"Selling Items"
MSI_ITEMS_THAT_IS_STORED,"Storage"
MSI_ITEM_IS_EQUIPED," is put on."
MSI_ITEM_IS_REMOVED," is taken off."
MSI_ADD_TO_WHISPER_CHAR_LIST,"To add names on the Whispering List"
MSI_EXPLAIN_TIP12,"How to Take Screen Shots: Press [Print Screen] or [Scroll Lock]"
MSI_TIPOFTHEDAY,"Tip of the Day"
MSI_DIDYOUKNOW,"^3850a0Did you know...?^709fed"
MSI_SHOWTIPSATSTARTUP,"Display at startup"
MSI_EXPLAIN_OPENTIP,"/tip: Opens ''Tip of the Day''"
MSI_NUMPEOPLE,"There are %d Players Currently Connected."
MSI_USERGETINTHEROOM,"(%s) has entered."
MSI_USERGETOUTOFTHEROOM,"(%s) has left."
MSI_USERGETOUTOFTHEROOMBYFORCE,"(%s) was kicked out."
MSI_EA,"%d ea."
MSI_EA2,"%s: %d ea."
MSI_EA3,"%s %s: %d"
MSI_ITEMSYOUCANSELL,"Available Items to sell"
MSI_SHOPITEMS,"Shop Items"
MSI_NOWHERE,"Unknown Area"
MSI_CLIENTTYPEMISMATCH,"Your Client language doesn't match the Server language."
MSI_CLOSEEQUIPWND,"Please move your equipment to the inventory. And close the equipment window."
MSI_ENGLISHONLY,"This server provides English Text Characters Only."
MSI_NOTSUPPORTEDYET,"This is not implemented yet."
MSI_NOWHISPERLIST,"No Whisper List."
MSI_WHISPERIGNORESUCCESS,": Whispering Blocked."
MSI_WHISPERIGNOREFAILED1,": Whispering Block has failed."
MSI_WHISPERIGNOREFAILED2,": Whispering Block has failed. Block List is full."
MSI_WHISPERNOIGNORESUCCESS,": Whispering accepted."
MSI_WHISPERNOIGNOREFAILED1,": Command has failed."
MSI_WHISPERNOIGNOREFAILED2,": Command has failed. Block List is full."
MSI_NO_SPACE_IN_NAME,"You cannot put a space at the beginning or end of a name."
MSI_ROOM_PRIVATE2,"Private"
MSI_ROOM_PUBLIC2,"Public"
MSI_USESKILL_FAIL_SP_INSUFFICIENT,"Insufficient SP"
MSI_USESKILL_FAIL_HP_INSUFFICIENT,"Insufficient HP"
MSI_NOT_ENOUGH_SKILLLEVE8,"Skill has failed."
MSI_FAIL_STEAL,"Steal has failed."
MSI_EXCHANGE,"Trade"
MSI_FAIL_POISON,"Envenom skill has failed."
MSI_ID_MISMATCH,"You cannot use this ID on this server."
MSI_SPEEDUP,"Speed has increased."
MSI_SPEEDDOWN,"Speed has decreased."
MSI_EXPLAIN_TIP13,"/memo: To memorize a place as Warp Point (If you are an Acolyte Class character)"
MSI_RANDOM_POS,"Random Area"
MSI_SELECTWHERETOWARP,"Select an Area to Warp"
MSI_NOTENOUGHSKILLLEVEL,"Skill Level is not high enough"
MSI_NO_STORED_PLACE_TO_WARP,"There are no memorized locations (Memo Points)."
MSI_NOWARPSKILL,"You haven't learned Warp skill."
MSI_WARPPOINTSTORED,"Current location is saved as a Memo Point for Warp Skill."
MSI_CANCEL,"Cancel"
MSI_SKILLINTERVAL,"There is a Delay after using a Skill."
MSI_CANT_GET_ITEM_BECAUSE_COUNT,"You can't have this item because you will exceed the weight limit."
MSI_INSUFFICIENT_OVER_COUNT,"Out of the maximum capacity"
MSI_MERCHANTITEM,"Cart Items"
MSI_CARTOFF,"Take off Cart"
MSI_MERCHANTSHOPMAKER,"Opening a stall"
MSI_ENTER_SHOP_TITLE,"Please enter the stall's name"
MSI_ITEM_MY_STORE,"My Shop"
MSI_ITEM_MERCHANT_STORE,"Merchant Shop"
MSI_ITEMS_FOR_BUY_FROM_MERCHANT,"Buying Items"
MSI_FAIL_BUY_ITEM_FROM_MERCHANT,"%s Purchase Failed %s"
MSI_INSUFFICIENT_STOCK,"Out of Stock"
MSI_ITEM_IS_SOLD,"%s %d sold."
MSI_MERCHANTMIRRORITEM,"Available Items for Vending"
MSI_SKILL_FAIL_MONEY,"Skill has failed because you do not have enough zeny."
MSI_SELECTTARGET,"Select a Target."
MSI_EXPLAIN_TIP14,"/pk on: Turns PK On. /pk off: Turns PK Off."
MSI_STREETSHOP,"Shop"
MSI_OPENCARTWINDOW,"Cart Items [Alt+W]"
MSI_BASICINFOWND,"Basic Information"
MSI_USESKILL_FAIL_NOT_SUITABLE_WEAPON,"The skill cannot be used with this weapon."
MSI_FAIL_BUY_ITEM_FROM_MERCHANT_NO_STOCK,"Buying %s has been failed. Out of Stock. Current Stock %d."
MSI_SPEEDHACK,"You've been disconnected due to a time gap between you and the server."
MSI_ERR_ATTACK_ARROW,"Please equip the proper ammunition first."
MSI_ERR_ATTACK_WEIGHT,"You can't attack or use skills because you've exceeded the Weight Limit."
MSI_ERR_SKILL_WEIGHT,"You can't use skills because you've exceeded the Weight Limit."
MSI_MSG_ARROW_EQUIPMENT_SUCCESS,"Ammunition has been equipped."
MSI_NEED_REDJAMSTONE,"Red Gemstone required."
MSI_NEED_BLUEJAMSTONE,"Blue Gemstone required."
MSI_DESC_STR,"Strength"
MSI_DESC_AGI,"Agility"
MSI_DESC_VIT,"Vitality"
MSI_DESC_INT,"Intelligence"
MSI_DESC_DEX,"Dexterity"
MSI_DESC_LUK,"Luck"
MSI_DESC_ATK,"Physical Attack"
MSI_DESC_DEF,"Physical Defense"
MSI_DESC_HIT,"Accuracy Rate"
MSI_DESC_CRI,"Critical Attack Rate"
MSI_DESC_GUILD,"Assigned Guild"
MSI_DESC_POINT,"Status Points to allocate"
MSI_DESC_MATK,"Magical Attack"
MSI_DESC_MDEF,"Magical Defense"
MSI_DESC_FLEE,"Flee Rate"
MSI_DESC_ASPD,"Attack Speed"
MSI_PC_OVERFLOW,"Server is jammed due to over population. Please try again shortly."
MSI_OPTIONWND,"Option"
MSI_ID_EMAIL_CONFIRM_NEEDED,"Account ID blocked by the Game Master Team."
MSI_INCORRECT_LOGIN_PASSWORD,"Incorrect User ID or Password. Please try again."
MSI_SELECT_HAIR_STYLE,"Choose Hairstyle"
MSI_ATK,"ATK"
MSI_DEF,"DEF"
MSI_ATTACK_SNAP_ON,"Attack Snap On"
MSI_ATTACK_SNAP_OFF,"Attack Snap Off"
MSI_SKILL_SNAP_ON,"Skill Snap On"
MSI_SKILL_SNAP_OFF,"Skill Snap Off"
MSI_EXPLAIN_SNAP,"/snap: Turns snap On | Off for fights, /skillsnap: Turns snap On | Off for skills. /itemsnap: Turns snap On | Off for items on the grounds."
MSI_ITEM_SNAP_ON,"Item Snap On"
MSI_ITEM_SNAP_OFF,"Item Snap Off"
MSI_SNAP,"Snap"
MSI_CANT_GET_ITEM_OVERCOUNT_ONEITEM,"You cannot carry more than 30,000 of one kind of item."
MSI_CANT_DELETE_CHARACTER_OVER_30_LEVEL,"You cannot delete a Character with a level greater than 30. If you want to delete the character please contact a Game Master."
MSI_FAIL_BUY_ITEM_ITEM_EXCHANGING,"You cannot use an NPC shop while in a trade."
MSI_STALL_NAME,"Name"
MSI_SKILLLIST,"Skill Tree"
MSI_SKILLPOINT,"Skill Point: %d"
MSI_USESKILL_FAIL,"Skill has failed."
MSI_PASSIVE,"Passive"
MSI_EXPDIV1,"Each Take "
MSI_EXPDIV2,"Even Share"
MSI_ITEMCOLLECT1,"Each Take"
MSI_ITEMCOLLECT2,"Party Share"
MSI_PARTYSETTING,"Party Setup"
MSI_HOWEXPDIV,"How to share EXP"
MSI_HOWITEMCOLLECT,"How to share Items"
MSI_ONLY_PARTYMASTER,"Only the Party Leader can change this setting."
MSI_NOQUESTION_ITEMCOUNT,"Toggle Item Amount."
MSI_CHARARATER_DELETE_COUNT,"Character will be deleted after ^ff0000%d^000000 seconds. Press Cancel to quit."
MSI_MAXEXCHANGE_IS_10_KIND,"You cannot trade more than 10 types of items per trade."
MSI_LIMIT_AGE,"You are not old enough to use this server."
MSI_ENTER_EMAIL,"Please enter the deletion password."
MSI_ENTER_EMAIL_TOOLTIP,"E-mail Address (Case Sensitive)."
MSI_CANNOT_DELETE_CHARACTER_EMAIL,"Character Deletion has failed because you have entered an incorrect e-mail address."
MSI_ENTER_PEOPLE_REG_NUMBER,"Enter your account password."
MSI_CANNOT_DELETE_CHARACTER_PEOPLE_REG_NUMBER,"The character was not deleted because the password was wrong."
MSI_CANT_SELL_OVER_15,"You can't sell more than 15 types of Items at one time."
MSI_UNDER_AGE,"You are underaged and cannot join this server."
MSI_NO_RECOVER_OVERWEIGHT,"HP and SP natural regeneration are disabled because your Weight is over 50% of the Weight Limit."
MSI_NO_ATTACK_OVERWEIGHT,"Attacks and skills cannot be used when your Weight is over 90%."
MSI_NO_RECOVER_OVERWEIGHT_RELEASED,"Your HP/SP are now being restored naturally."
MSI_NO_ATTACK_OVERWEIGHT_RELEASED,"Attack and Skills are now available."
MSI_INVALID_VERSION,"Your Game's Exe File is not the latest version."
MSI_ITEM_IS_SOLD_OUT,"Items are sold out."
MSI_WRITE_CHAT_TO_FILE,"Save Chat as Text File"
MSI_EXPLAIN_SAVE_CHAT,"/savechat: Save a Chat Log"
MSI_MAKEACCOUNT,"Register"
MSI_REQ_EX_LIST,"Reject Whispering"
MSI_REQ_IN,"Allow Whispering"
MSI_MISS_EFFECT_ON,"Shows ''Miss'' On"
MSI_MISS_EFFECT_OFF,"Shows ''Miss'' Off"
MSI_FIXED_CAMERA_ON,"Camera Zooming On"
MSI_FIXED_CAMERA_OFF,"Camera Zooming Off"
MSI_EXPLAIN_CAMERA_MISS,"/camera: Camera Zooming On or Off. /miss: Toggle ''Miss'' display"
MSI_SEE_INFORMATION_OF_SKILL,"View Skill Info"
MSI_CHANGE_SKILL_NAME,"Change Skill"
MSI_SPRITE_RESOLUTION,"Sprite Resolution"
MSI_TEXTURE_RESOLUTION,"Texture Resolution"
MSI_DETAILLEVELWND,"Arrange Detail"
MSI_GET_ZENY,"%s Zeny obtained"
MSI_GUILDNAME,"Guild Name"
MSI_GUILDLEVEL,"Guild Level"
MSI_GUILD_MASTER_NAME,"Guild Master"
MSI_GUILD_NUM_MEMBER,"Members"
MSI_GUILD_AVG_MEMBER_LEVEL,"Avg.lvl of Members"
MSI_GUILD_MANAGE_LAND,"Castles Owned"
MSI_GUILD_FAIR,"Tendency"
MSI_GUILD_EXP,"EXP"
MSI_GUILD_EMBLEM,"Emblem"
MSI_GUILD_POINT,"Tax Point"
MSI_ALLY_GUILD,"Alliances"
MSI_HOSTILITY_GUILD,"Antagonists"
MSI_GUILDINFOMANAGE,"Guild Info"
MSI_GUILDMEMBERMANAGE,"Member"
MSI_GUILDPOSITIONMANAGE,"Position"
MSI_GUILDSKILL,"Guild Skill"
MSI_GUILDBANISHEDMEMBER,"Expel List"
MSI_GUILDNOTICE,"Announcement"
MSI_GUILDTOTALINFO,"Entire Guild List"
MSI_WHISPERLISTWND,"Whispering List"
MSI_OPENWHISPERLISTWND,"Open Whispering Window"
MSI_EXPLAIN_WHISPER_LIST_WND,"How to Open Whispering List: Press [Alt] + [H]"
MSI_AUTOOPENWHISPERLISTWND,"Automatically open Whispering List"
MSI_DELETE,"Delete"
MSI_DONTOPEN,"Close since next"
MSI_LAST_LOGIN_TIME,"Last Log-in Time"
MSI_LAST_LOGIN_IP,"Last Log-in IP"
MSI_FRIEND_SETTING,"Friend Setup"
MSI_DO_YOU_REALLY_WANT_DELETE,"Are you sure that you want to delete it?"
MSI_DO_YOU_REALLY_WANT_LEAVE,"Are you sure that you want to leave?"
MSI_ADD_TO_FRIEND_CHAR_LIST,"Register as a Friend"
MSI_AUTOOPENWHISPERLISTWND_FRIEND,"Open 1:1 Chat between Friends"
MSI_OPEN_1ON1_WINDOW,"Open 1:1 Chat"
MSI_AUTOOPEN_1ON1_WINDOW,"Open 1:1 Chat between Strangers"
MSI_WHISPER_OPEN_SOUND,"Alarm when receive a 1:1 Chat"
MSI_DO_YOU_REALLY_WANT_EXPEL,"Are you sure that you want to expel him/her?"
MSI_USER_LEFT_GUILD,"%s has left the guild."
MSI_REASON_LEAVE_GUILD,"Withdrawal Reason: %s"
MSI_DISORGANIZE_GUILD_FAILURE,"You have failed to disband the guild."
MSI_DISORGANIZATION_REASON,"Disband Reason: %s"
MSI_DELETED_ACCOUNT,"This account has been deleted."
MSI_SELLPRICE,"Price: "
MSI_BAN_GUILD,"%s has been expelled from the guild."
MSI_REASON_BAN_GUILD,"Expulsion Reason: %s"
MSI_CAN_NOT_EQUIP_ITEM,"You can't put this item on."
MSI_PARTYSETTING_CHANGE_IMPOSSIBLE,"You can't modify Party Setup."
MSI_GUILD_MAKE_SUCCESS,"Guild has been created."
MSI_GUILD_MAKE_ALREADY_MEMBER,"You are already in a Guild."
MSI_GUILD_MAKE_GUILD_EXIST,"That Guild Name already exists."
MSI_SUGGEST_JOIN_GUILD," Guild has sent you an invitation. Would you like to join this Guild?"
MSI_CHARACTER_IS_ALREADY_IN_GUILD,"He/She is already in a Guild."
MSI_CHARACTER_REJECT_JOIN_GUILD,"You have refused the guild invitation."
MSI_CHARACTER_ACCEPT_JOIN_GUILD,"You have accepted the guild invitation."
MSI_TOO_MANY_PEOPLE_IN_GUILD,"Your Guild is full."
MSI_REQ_JOIN_GUILD,"Send (%s) a Guild Invitation"
MSI_NOT_ENOUGH_FOR_MANNER_POINT,"You haven't learned enough skills for aligning."
MSI_GIVING_MANNER_POINT_SUCCESS,"Aligning completed."
MSI_YOU_USE_TODAY_ALREADY,"You already spent your point for today."
MSI_ONE_MONTH_NOT_PASSED,"Hasn't been a month yet since you aligned this person."
MSI_RECEIVE_PLUS_MANNER_POINT,"Received positive manner point from %s."
MSI_RECEIVE_MINUS_MANNER_POINT,"Received negative manner point from %s."
MSI_GIVE_PLUS_MANNER_POINT,"Align with a Good Point"
MSI_GIVE_MINUS_MANNER_POINT,"Align with a Bad Point"
MSI_REQ_DEAL_WITH2,"Request a deal with (%s)"
MSI_REQ_JOIN_PARTY2,"Ask (%s) to join your party"
MSI_SUGGEST_ALLY_GUILD," Guild is asking for an Alliance with them. Do you accept?"
MSI_REQALLYGUILD_ALREADY_ALLIED,"Your Guild is already in an Alliance with this Guild."
MSI_REQALLYGUILD_REJECT,"You rejected the Alliance Request."
MSI_REQALLYGUILD_ACCEPT,"You accepted the Alliance Request."
MSI_REQALLYGUILD_OVERSIZE,"Other Guild has too many Alliances."
MSI_REQALLYMYGUILD_OVERSIZE,"You have too many Alliances."
MSI_REQ_ALLY_GUILD,"Send an Guild Alliance Request"
MSI_DISORGANIZE_GUILD_SUCCESS,"Guild was successfully disbanded."
MSI_DISORGANIZE_GUILD_INVALIDKEY,"You have failed to disband the guild due to your incorrect SSN."
MSI_DISORGANIZE_GUILD_MEMBEREXIST,"You have failed to disband the guild because there are guildsmen still present."
MSI_REQ_HOSTILE_GUILD,"Set this guild as an Antagonist"
MSI_SELECT_HAIR_COLOR,"Choose Hair Color"
MSI_GUILD_MAKE_GUILD_NONE_ITEM,"You need the necessary item to create a Guild."
MSI_MONSTER_INFO_WINDOW,"Monster Info"
MSI_NAME,"Name"
MSI_LEVEL,"Level"
MSI_HP,"HP"
MSI_SIZE,"Size"
MSI_RACETYPE,"Race"
MSI_MDEFPOWER,"MDEF"
MSI_PROPERTY,"Element"
MSI_PROPERTY_NEUTURAL,"Neutral"
MSI_PROPERTY_WATER,"Water"
MSI_PROPERTY_EARTH,"Earth"
MSI_PROPERTY_FIRE,"Fire"
MSI_PROPERTY_WIND,"Wind"
MSI_PROPERTY_POISON,"Poison"
MSI_PROPERTY_SAINT,"Holy"
MSI_PROPERTY_DARK,"Shadow"
MSI_PROPERTY_MENTAL,"Ghost"
MSI_PROPERTY_UNDEAD,"Undead"
MSI_CANT_MAKE_ITEM,"You can't create items yet."
MSI_MAKE_LIST,"Manufacturing List"
MSI_MAKE_TARGET," Create"
MSI_REQUIRE_FOR_MAKE_TARGET,"'s required materials"
MSI_MAKE_TARGET_FAIL," item creation failed."
MSI_MAKE_TARGET_SUCCEESS," item created successfully."
MSI_MAKE_TARGET_FAIL_MSG,"Failed to create %s."
MSI_MAKE_TARGET_SUCCEESS_MSG,"Successfully created %s."
MSI_NOT_ENOUGH_LEVEL,"You don't have the the required level."
MSI_TOO_HIGH_LEVEL,"You level is too high for this job."
MSI_NOT_ACCEPTABLE_JOB,"Not the suitable job for this type of work."
MSI_TALKBOX_WINDOW,"Record a message in the Talkie Box"
MSI_TALKBOX_WINDOW_MSG,"Please type a message for the Talkie Box"
MSI_SEND_TO_GUILD,"Send to Guild"
MSI_NOT_SETTLED,"You didn't pay for this account. Would you like to pay for it now?"
